country region code,country region,sub region 1,sub region 2,metro area,iso 3166_2 code,census fips code,place id,date,retail and recreation percent change from baseline,grocery and pharmacy percent change from baseline,parks percent change from baseline,transit stations percent change from baseline,workplaces percent change from baseline,residential percent change from baseline
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/16/2020,-6,1,-11,-33,-18,12
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/17/2020,-10,-3,-20,-37,-17,13
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/18/2020,-11,-4,-21,-39,-6,11
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/19/2020,-16,-8,-20,-44,9,11
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/20/2020,-6,1,-12,-39,-18,12
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/21/2020,-8,-3,-14,-36,-19,12
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/22/2020,-6,-1,-12,-34,-18,12
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/23/2020,-8,-1,-11,-35,-18,12
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/24/2020,-11,-3,-18,-37,-17,13
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/25/2020,-11,-4,-20,-38,-5,12
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/26/2020,-15,-6,-18,-42,10,11
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/27/2020,-6,1,-9,-37,-18,13
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/28/2020,-6,2,-8,-31,-19,13
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/29/2020,-4,5,-7,-25,-19,12
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/30/2020,3,18,4,-13,-21,10
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,7/31/2020,-22,-9,-7,-35,-59,20
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,8/1/2020,-8,5,-6,-34,-20,11
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,8/2/2020,-9,4,-9,-22,5,8
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,8/3/2020,1,11,2,-23,-20,12
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,8/4/2020,-1,8,-1,-23,-20,12
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,8/5/2020,0,9,0,-24,-20,11
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,8/6/2020,-1,9,0,-24,-19,11
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,8/7/2020,-5,4,-8,-28,-17,10
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,8/8/2020,-5,2,-11,-31,-6,9
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,8/9/2020,-9,0,-9,-34,10,8
ID,Indonesia,Central Java,,,ID-JT,,ChIJ3RjVnJt1ZS4RRrztj53Rd8M,8/10/2020,1,8,2,-29,-17,10
